Year,Type,AvgPrice,Median_DOM,Sales_Count,FiveYearRate,LoanAmount,MonthlyPayment
2016,Detached,548070.573875803,30.0,11208,4.6573076923076915,438456.4591006425,2476.39731581221
2016,Townhome,331807.124009324,41.0,2145,4.6573076923076915,265445.6992074592,1499.234424233583
2016,Condo,307605.9126284875,45.0,2724,4.6573076923076915,246084.73010279002,1389.883881147341
2017,Detached,557627.3830082127,26.0,11811,4.765,446101.90640657017,2547.1546896717773
2017,Townhome,337000.0300592718,40.0,2362,4.765,269600.02404741745,1539.363440787774
2017,Condo,292632.96168582374,48.0,2871,4.765,234106.369348659,1336.7016101137372
2018,Detached,557448.4187474829,36.0,9932,5.265,445958.73499798635,2676.345515942203
2018,Townhome,320589.02953156823,47.0,1964,5.265,256471.22362525458,1539.1684374581414
2018,Condo,292108.38157894736,49.0,2660,5.265,233686.7052631579,1402.431024855212
2019,Detached,535896.4418064256,37.0,9898,5.270769230769231,428717.15344514046,2574.333593692536
2019,Townhome,313043.64045476075,48.0,2111,5.270769230769231,250434.9123638086,1503.7956908204192
2019,Condo,275476.12851255154,53.0,2669,5.270769230769231,220380.90281004124,1323.3292788803146
2020,Detached,539126.3013008947,32.0,9947,4.949433962264151,431301.04104071576,2508.652673920112
2020,Townhome,309563.39964568766,46.0,2145,4.949433962264151,247650.71971655014,1440.4547661560466
2020,Condo,252180.83063100712,49.0,2393,4.949433962264151,201744.6645048057,1173.4432424226843
2021,Detached,585218.2266156013,20.0,17037,4.79,468174.5812924811,2679.9270076449293
2021,Townhome,325513.7731283354,32.0,3935,4.79,260411.01850266836,1490.6459031735399
2021,Condo,266853.57869145344,44.0,4142,4.79,213482.86295316275,1222.0195477467078
2022,Detached,655782.5694240638,15.0,15783,5.651538461538461,524626.0555392511,3269.3125736327543
2022,Townhome,356642.9447272374,18.0,5151,5.651538461538461,285314.3557817899,1777.9936793961745
2022,Condo,283446.3343617363,28.0,6220,5.651538461538461,226757.06748938907,1413.0821831583348
2023,Detached,719532.4851026024,15.0,12719,6.684230769230769,575625.9880820819,3953.19266565866
2023,Townhome,407010.06030934624,15.0,4558,6.684230769230769,325608.04824747704,2236.159198614586
2023,Condo,306321.756744068,19.0,7881,6.684230769230769,245057.4053952544,1682.966297094494
2024,Detached,802620.806885378,15.0,12406,6.726538461538461,642096.6455083024,4426.811630373193
2024,Townhome,467182.0115192598,15.0,4647,6.726538461538461,373745.60921540787,2576.7171052045137
2024,Condo,348549.54226245545,19.0,7567,6.726538461538461,278839.63380996435,1922.4061402497887
2025,Detached,810714.8518839473,21.0,10478,6.248333333333334,648571.8815071578,4277.761946520243
2025,Townhome,465007.68804189947,26.0,3580,6.248333333333334,372006.1504335196,2453.627422912617
2025,Condo,348388.8183264013,33.0,5049,6.248333333333334,278711.05466112104,1838.2843562895175
